Årmåned_salg;case_type_dk;municipality_name;zip_code;zip_code_name;erts89_utm32_x;erts89_utm32_y;ed50_x;ed50_y;wgs84_lat;wgs84_lon;grundareal;boligareal;vægtet_areal;energimærke_påkrævet;energimærke;antvandskyltoilleter;opvarmningskode;varmeinstallationskode;ydervægkode;byggeår;renoveringsår;md_ejerudgifter;første_udbudspris;senest_annonceret_pris;tinglyst_pris;dage_på_markedet_v_seneste_mægler;dage_på_markedet_v_alle_mæglere
201512;Ejerlejlighed;København;2100;København Ø;725220.7530824158;6178400.196579941;725302.8261458419;6178606.345128097;55,69898;12,58422;;139;139;TRUE;d;1;9999;9999;9999;1902;;3972;6100000;6100000;6100000;16;16
201511;Ejerlejlighed;København;2300;København S;727179,0698;6173623.590031517;727261.1428332354;6173829.703553043;55,6552329;12,61136251;;85;85;TRUE;d;1;9999;9999;9999;1904;;3505;2250000;2250000;2200000;37;37
202109;Ejerlejlighed;København;2300;København S;727178.7528604874;6173623.840032037;727260.8259169157;6173829.953555949;55,65523529;12,61135769;;85;85;TRUE;d;1;9999;9999;9999;1904;;3666;3995000;3995000;3850000;45;45
201309;Ejerlejlighed;København;2400;København NV;721528.7548763797;6178768.565169882;721610,8058;6178974.725543636;55,70398291;12,5258882;;53;53;TRUE;d;1;9999;9999;9999;1936;;;1099000;1099000;1075000;45;45
201706;Ejerlejlighed;København;2400;København NV;721522.4501146745;6178755.879661548;721604.5009327447;6178962.039971983;55,70387202;12,52577781;;51;51;TRUE;d;1;9999;9999;9999;1936;;2051;1945000;1945000;1915000;83;83
202112;Ejerlejlighed;København;2300;København S;727697.2740448164;6172523.182441056;727779.3475268307;6172729.287716428;55,64512253;12,61867046;;64;64;TRUE;c;1;9999;9999;9999;1935;;2950;2095000;2095000;2025000;29;29
201506;Ejerlejlighed;København;2300;København S;727697.9467919386;6172521.820303366;727780.0202746758;6172727,926;55,64511;12,61868;;64;64;TRUE;c;1;9999;9999;9999;1935;;3750;1395000;1395000;1360000;52;52
201404;Ejerlejlighed;København;2100;København Ø;724119.1297823059;6179868.940700318;724201.1997275074;6180075.1012984365;55,71266158;12,56792815;;62;62;TRUE;e;1;9999;9999;9999;1926;;;1695000;1695000;1675000;33;33
201909;Ejerlejlighed;København;2100;København Ø;724107.7681245242;6179867.097578647;724189.8379938519;6180073,258;55,7126503;12,56774616;;60;60;TRUE;d;1;9999;9999;9999;1926;;1835;2495000;2495000;2350000;62;62
201804;Ejerlejlighed;København;2100;København Ø;725629.7698272353;6178568,99;725711.8458864013;6178775.138093964;55,70030372;12,59085382;;77;77;TRUE;d;1;9999;9999;9999;1978;;4340;2725000;2725000;2700000;144;144
202204;Ejerlejlighed;København;2450;København SV;721809.0997530946;6172374.889876133;721891.1359139471;6172581.0093770325;55,64651391;12,52517447;;40;40;TRUE;c;1;9999;9999;9999;1940;2006;1475;1750000;1750000;1750000;3;3
201202;Ejerlejlighed;København;2300;København S;726512.0000671498;6174925.999472163;726594,0723;6175132,123;55,66722377;12,60185566;;102;102;TRUE;d;1;9999;9999;9999;1924;;;2199000;2199000;2025000;78;78
202202;Ejerlejlighed;København;2300;København S;726511.6855419381;6174926.957734857;726593.7577638864;6175133,081;55,66723251;12,60185146;;102;102;TRUE;c;1;9999;9999;9999;1924;;3451;5195000;5195000;5400000;17;17
